parameter,low,high,distribution,units,note,source
total_air_filter_revenue_usd,16664240000,24996360000,normal,USD/year,"Total global air filter market revenue, the base that the industrial MERV split is applied to (methods 2.3.2). CR_Box_MASTER gives 20.8303 bn USD; range shown is plus/minus 20 percent.",https://www.grandviewresearch.com/horizon/statistics/filters-market/type/air-filters/global
industrial_revenue_1_4_usd,154530000,188870000,normal,USD/year,"Industrial air filter revenue, MERV 1-4. CR_Box_MASTER cell C24 (171.7 USD M) plus/minus 10 percent.",https://www.grandviewresearch.com/horizon/outlook/industrial-air-filtration-market-size/global
industrial_revenue_5_8_usd,507060000,619740000,normal,USD/year,"Industrial air filter revenue, MERV 5-8. CR_Box_MASTER cell C22 (563.4 USD M) plus/minus 10 percent.",https://www.grandviewresearch.com/horizon/outlook/industrial-air-filtration-market-size/global
industrial_revenue_9_12_usd,1144620000,1398980000,normal,USD/year,"Industrial air filter revenue, MERV 9-12. CR_Box_MASTER cell C23 (1271.8 USD M) plus/minus 10 percent.",https://www.grandviewresearch.com/horizon/outlook/industrial-air-filtration-market-size/global
industrial_revenue_13_16_usd,1690290000,2066000000,normal,USD/year,"Industrial air filter revenue, MERV 13-16. CR_Box_MASTER cell C25 (1878.1 USD M) plus/minus 10 percent.",https://www.grandviewresearch.com/horizon/outlook/industrial-air-filtration-market-size/global
industrial_revenue_17_20_usd,1987830000,2429570000,normal,USD/year,"Industrial air filter revenue, MERV 17-20. CR_Box_MASTER cell C21 (2208.7 USD M) plus/minus 10 percent.",https://www.grandviewresearch.com/horizon/outlook/industrial-air-filtration-market-size/global
pac_market_revenue_usd,11037333333,16556000000,normal,USD/year,Average of three market reports plus/minus 20%,"https://www.fortunebusinessinsights.com/portable-air-purifier-market-118150
https://www.mordorintelligence.com/industry-reports/portable-air-purifier-market
https://www.expertmarketresearch.com/reports/portable-air-purifier-market"
fraction_room,0.5,0.68,normal,fraction,Median 0.59 per methods; 90 percent UI generated around this,https://www.mordorintelligence.com/industry-reports/portable-air-purifier-market
fraction_merv13_plus,0.4,0.6,lognormal,fraction,Methods 2.3.1.,https://www.mordorintelligence.com/industry-reports/portable-air-purifier-market
fraction_non_panel,0.6,0.7,normal,fraction,Panel filter market (~7 B) is approx. 35% of global market (~20 B),"https://www.researchandmarkets.com/report/global-panel-filters-market
https://www.marketsandmarkets.com/Market-Reports/panel-filters-market-118890404.html"
pac_price_usd,117,439,lognormal,USD/unit,"""An initial cost-survey of commercially available Energy Star rated in-room filters (U.S.EPA 2021a) designed for the residential market found costs ranging from $0.71 to $2.66 per CADR in units of ft3 min?1"". 0.71 to 2.66 * the median CADR below of 165 CFM (=78 L/s) = $117-439",https://www.medrxiv.org/content/10.1101/2022.01.09.22268972v1.full
pac_ecadr_l_per_s,55,144,lognormal,L/s/unit,Approx. Median and IQR from Energy STAR dataset of 236 models. Median is slightly lower than mean (78 vs 99),https://catalog.data.gov/dataset/energy-star-certified-room-air-cleaners-v3-0
cr_box_ecadr_l_per_s,110,260,normal,L/s/unit,Estimated from multiple studies and tests of CR boxes,"https://pmc.ncbi.nlm.nih.gov/articles/PMC9828579)~122 L/s)
https://pmc.ncbi.nlm.nih.gov/articles/PMC9107182/#t0015(~258 L/s)
https://www.sciencedirect.com/science/article/abs/pii/S0360132324004451?via%3Dihub (~113 L/s real-world use in schools)    "
price_per_volume_1_4,924.32,1138.85,normal,USD/m3 media,From CR_Box_MASTER sheet 'Filter Price Per Merv Rating'.,"https://www.amazon.com/Pamlico-Air-Fiberglass-Filters-SUPPLY/dp/B0B6R45PZ4/ref=sr_1_5?crid=2H4YPVQZK6X3V&dib=eyJ2IjoiMSJ9.rnmzd9tBzNF5tkEprB_0l4mAspzRHs4oHTXnsim6cyzHXGHvx1ajTflUz37bqeSTPZAg1gicLlzb5_uNSXUO7tQpyZRiXkpJpc0iha_MGzGXBIK8kmp_sx26VMKUt604frPvT-dlOfOsOjrdulQMnWhEWRN594YM_iXrdEzq1Sd09xIePPZEcL9j96JD3lia1ykYMjMmVrJNvc-qw3QbqLDYIa07gK2XAuTCV-dC3Ccr4tFZWexulRTyIQaTwKbcAllPJ-iCRPRLfrH2VJERGXr4Z-wPQsq8ugx98sgS0ss.l5gBez7Y_eHUS4RIvZOnHXhqak4L9herumG-PdQ28T0&dib_tag=se&keywords=filter+20x20x1+merv+4&qid=1755491029&sprefix=filter+20x20x1+merv+%2Caps%2C352&sr=8-5
https://www.amazon.com/Fiberglass-Air-Filter-MERV-4-pack/dp/B0BQZCKZKS/ref=sr_1_7?crid=2H4YPVQZK6X3V&dib=eyJ2IjoiMSJ9.rnmzd9tBzNF5tkEprB_0l4mAspzRHs4oHTXnsim6cyzHXGHvx1ajTflUz37bqeSTPZAg1gicLlzb5_uNSXUO7tQpyZRiXkpJpc0iha_MGzGXBIK8kmp_sx26VMKUt604frPvT-dlOfOsOjrdulQMnWhEWRN594YM_iXrdEzq1Sd09xIePPZEcL9j96JD3lia1ykYMjMmVrJNvc-qw3QbqLDYIa07gK2XAuTCV-dC3Ccr4tFZWexulRTyIQaTwKbcAllPJ-iCRPRLfrH2VJERGXr4Z-wPQsq8ugx98sgS0ss.l5gBez7Y_eHUS4RIvZOnHXhqak4L9herumG-PdQ28T0&dib_tag=se&keywords=filter+20x20x1+merv+4&qid=1755491106&sprefix=filter+20x20x1+merv+%2Caps%2C352&sr=8-7
https://www.mscdirect.com/product/details/37939105"
price_per_volume_5_8,686.37,1581.33,normal,USD/m3 media,From CR_Box_MASTER sheet 'Filter Price Per Merv Rating'.,"https://www.raptorsupplies.com.au/c/hvac-and-refrigeration/c3/pleated-air-filters?cat=27059&catKey=726362
https://www.honeywellstore.com/store/products/honeywell-20x20x1-standard-efficiency-merv-8-air-filter-12-pack.htm
https://www.smartbuysuper.com/aerostar-20x20x1-merv-6-pleated-air-filter-ac-furnace-air-filter-6-pack-actual-size-19-34-x-19-34-x-34-p-99810.htm
https://www.factorydirectfilters.com/products/20x20x1-air-filter?variant=44484966547702"
price_per_volume_9_12,747.98,1857.04,normal,USD/m3 media,From CR_Box_MASTER sheet 'Filter Price Per Merv Rating'.,"https://www.raptorsupplies.com.au/c/hvac-and-refrigeration/c3/pleated-air-filters?cat=27059&catKey=726362
https://www.honeywellstore.com/store/products/honeywell-20x20x1-high-efficiency-merv-11-air-filter-4-pack.htm
https://www.factorydirectfilters.com/products/20x20x1-air-filter?variant=44484966547702
https://www.smartbuysuper.com/glasfloss-20x20x1-merv-10-fpr-56-pleated-air-filters-box-of-6-actual-size-1912-x-1912-x-78-p-243179.htm"
price_per_volume_13_16,1357.62,2544.88,normal,USD/m3 media,From CR_Box_MASTER sheet 'Filter Price Per Merv Rating'.,"https://www.raptorsupplies.com.au/c/hvac-and-refrigeration/c3/pleated-air-filters?cat=27059&catKey=726362
https://www.honeywellstore.com/store/products/honeywell-20x20x1-ultra-efficiency-merv-13-air-filter-4-pack.htm
https://www.factorydirectfilters.com/products/20x20x1-air-filter?variant=44484966547702
https://www.smartbuysuper.com/index.php?main_page=product_info&products_id=439911
https://www.nordicpure.com/product/20x20x1-air-filter-2/?srsltid=AfmBOoqNuJo3yqIPf5dxznIRyCkcvYKq-Vgmxp-sGFePbKxZfD2nXpqL"
